car_name,year,selling_price,present_price,kms_driven,car_age,price_difference,fuel_type_Diesel,fuel_type_Petrol,seller_type_Individual,transmission_Manual
royal enfield thunder 350,2016,1.2,1.5,18000,9,-0.30000000000000004,0,1,1,1
royal enfield classic 350,2017,1.2,1.47,11000,8,-0.27,0,1,1,1
ktm rc200,2016,1.2,1.78,6000,9,-0.5800000000000001,0,1,1,1
royal enfield thunder 350,2016,1.15,1.5,8700,9,-0.3500000000000001,0,1,1,1
ktm 390 duke ,2014,1.15,2.4,7000,11,-1.25,0,1,1,1
mahindra mojo xt300,2016,1.15,1.4,35000,9,-0.25,0,1,1,1
royal enfield classic 350,2015,1.15,1.47,17000,10,-0.32000000000000006,0,1,1,1
royal enfield classic 350,2015,1.11,1.47,17500,10,-0.3599999999999999,0,1,1,1
royal enfield classic 350,2013,1.1,1.47,33000,12,-0.3699999999999999,0,1,1,1
royal enfield thunder 500,2015,1.1,1.9,14000,10,-0.7999999999999998,0,1,1,1
royal enfield classic 350,2015,1.1,1.47,26000,10,-0.3699999999999999,0,1,1,1
royal enfield thunder 500,2013,1.05,1.9,5400,12,-0.8499999999999999,0,1,1,1
bajaj pulsar rs200,2016,1.05,1.26,5700,9,-0.20999999999999996,0,1,1,1
royal enfield thunder 350,2011,1.05,1.5,6900,14,-0.44999999999999996,0,1,1,1
royal enfield bullet 350,2016,1.05,1.17,6000,9,-0.11999999999999988,0,1,1,1
royal enfield classic 350,2013,1.0,1.47,46500,12,-0.47,0,1,1,1
royal enfield classic 500,2012,0.95,1.75,11500,13,-0.8,0,1,1,1
royal enfield classic 500,2009,0.9,1.75,40000,16,-0.85,0,1,1,1
bajaj avenger 220,2017,0.9,0.95,1300,8,-0.04999999999999993,0,1,1,1
bajaj avenger 150,2016,0.75,0.8,7000,9,-0.050000000000000044,0,1,1,1
honda cb hornet 160r,2017,0.8,0.87,3000,8,-0.06999999999999995,0,1,1,1
yamaha fz s v 2.0,2017,0.78,0.84,5000,8,-0.05999999999999994,0,1,1,1
honda cb hornet 160r,2017,0.75,0.87,11000,8,-0.12,0,1,1,1
yamaha fz 16,2015,0.75,0.82,18000,10,-0.06999999999999995,0,1,1,1
bajaj avenger 220,2017,0.75,0.95,3500,8,-0.19999999999999996,0,1,1,1
bajaj avenger 220,2016,0.72,0.95,500,9,-0.22999999999999998,0,1,1,1
tvs apache rtr 160,2017,0.65,0.81,11800,8,-0.16000000000000003,0,1,1,1
bajaj pulsar 150,2015,0.65,0.74,5000,10,-0.08999999999999997,0,1,1,1
honda cbr 150,2014,0.65,1.2,23500,11,-0.5499999999999999,0,1,1,1
hero extreme,2013,0.65,0.787,16000,12,-0.137,0,1,1,1
honda cb hornet 160r,2016,0.6,0.87,15000,9,-0.27,0,1,1,1
bajaj avenger 220 dtsi,2015,0.6,0.95,16600,10,-0.35,0,1,1,1
honda cbr 150,2013,0.6,1.2,32000,12,-0.6,0,1,1,1
bajaj avenger 150 street,2016,0.6,0.8,20000,9,-0.20000000000000007,0,1,1,1
yamaha fz  v 2.0,2015,0.6,0.84,29000,10,-0.24,0,1,1,1
yamaha fz  v 2.0,2016,0.6,0.84,25000,9,-0.24,0,1,1,1
bajaj pulsar  ns 200,2014,0.6,0.99,25000,11,-0.39,0,1,1,1
tvs apache rtr 160,2012,0.6,0.81,19000,13,-0.21000000000000008,0,1,1,1
hero extreme,2014,0.55,0.787,15000,11,-0.237,0,1,1,1
yamaha fz s v 2.0,2015,0.55,0.84,58000,10,-0.2899999999999999,0,1,1,1
bajaj pulsar 220 f,2010,0.52,0.94,45000,15,-0.41999999999999993,0,1,1,1
bajaj pulsar 220 f,2016,0.51,0.94,24000,9,-0.42999999999999994,0,1,1,1
tvs apache rtr 180,2011,0.5,0.826,6000,14,-0.32599999999999996,0,1,1,1
hero passion x pro,2016,0.5,0.55,31000,9,-0.050000000000000044,0,1,1,1
bajaj pulsar ns 200,2012,0.5,0.99,13000,13,-0.49,0,1,1,1
bajaj pulsar ns 200,2013,0.5,0.99,45000,12,-0.49,0,1,1,1
yamaha fazer ,2014,0.5,0.88,8000,11,-0.38,0,1,1,1
honda activa 4g,2017,0.48,0.51,4300,8,-0.030000000000000027,0,1,1,0
tvs sport ,2017,0.48,0.52,15000,8,-0.040000000000000036,0,1,1,1
yamaha fz s v 2.0,2015,0.48,0.84,23000,10,-0.36,0,1,1,1
honda dream yuga ,2017,0.48,0.54,8600,8,-0.06000000000000005,0,1,1,1
honda activa 4g,2017,0.45,0.51,4000,8,-0.06,0,1,1,0
bajaj avenger street 220,2011,0.45,0.95,24000,14,-0.49999999999999994,0,1,1,1
tvs apache rtr 180,2014,0.45,0.826,23000,11,-0.37599999999999995,0,1,1,1
bajaj pulsar ns 200,2012,0.45,0.99,14500,13,-0.54,0,1,1,1
bajaj avenger 220 dtsi,2010,0.45,0.95,27000,15,-0.49999999999999994,0,1,1,1
hero splender ismart,2016,0.45,0.54,14000,9,-0.09000000000000002,0,1,1,1
activa 3g,2016,0.45,0.54,500,9,-0.09000000000000002,0,1,1,0
hero passion pro,2016,0.45,0.55,1000,9,-0.10000000000000003,0,1,1,1
tvs apache rtr 160,2014,0.42,0.81,42000,11,-0.39000000000000007,0,1,1,1
honda cb trigger,2013,0.42,0.73,12000,12,-0.31,0,1,1,1
hero splender ismart,2015,0.4,0.54,14000,10,-0.14,0,1,1,1
yamaha fz s ,2012,0.4,0.83,5500,13,-0.42999999999999994,0,1,1,1
hero passion pro,2015,0.4,0.55,6700,10,-0.15000000000000002,0,1,1,1
bajaj pulsar 135 ls,2014,0.4,0.64,13700,11,-0.24,0,1,1,1
activa 4g,2017,0.4,0.51,1300,8,-0.10999999999999999,0,1,1,0
honda cb unicorn,2015,0.38,0.72,38600,10,-0.33999999999999997,0,1,1,1
hero honda cbz extreme,2011,0.38,0.787,75000,14,-0.40700000000000003,0,1,1,1
honda karizma,2011,0.35,1.05,30000,14,-0.7000000000000001,0,1,1,1
honda activa 125,2016,0.35,0.57,24000,9,-0.21999999999999997,0,1,1,0
tvs jupyter,2014,0.35,0.52,19000,11,-0.17000000000000004,0,1,1,0
honda karizma,2010,0.31,1.05,213000,15,-0.74,0,1,1,1
hero honda passion pro,2012,0.3,0.51,60000,13,-0.21000000000000002,0,1,1,1
hero splender plus,2016,0.3,0.48,50000,9,-0.18,0,1,1,1
honda cb shine,2013,0.3,0.58,30000,12,-0.27999999999999997,0,1,1,1
bajaj discover 100,2013,0.27,0.47,21000,12,-0.19999999999999996,0,1,1,1
suzuki access 125,2008,0.25,0.58,1900,17,-0.32999999999999996,0,1,1,0
tvs wego,2010,0.25,0.52,22000,15,-0.27,0,1,1,0
honda cb twister,2013,0.25,0.51,32000,12,-0.26,0,1,1,1
hero glamour,2013,0.25,0.57,18000,12,-0.31999999999999995,0,1,1,1
hero super splendor,2005,0.2,0.57,55000,20,-0.36999999999999994,0,1,1,1
bajaj pulsar 150,2008,0.2,0.75,60000,17,-0.55,0,1,1,1
hero  cbz xtreme,2008,0.2,0.787,50000,17,-0.587,0,1,1,1
bajaj  ct 100,2015,0.18,0.32,35000,10,-0.14,0,1,1,1
activa 3g,2008,0.17,0.52,500000,17,-0.35,0,1,1,0
honda cb twister,2010,0.16,0.51,33000,15,-0.35,0,1,1,1
honda cb shine,2007,0.12,0.58,53000,18,-0.45999999999999996,0,1,1,1
bajaj pulsar 150,2006,0.1,0.75,92233,19,-0.65,0,1,1,1
grand i10,2015,4.4,5.7,28200,10,-1.2999999999999998,0,1,0,1
i10,2011,2.95,4.6,53460,14,-1.6499999999999995,0,1,0,1
eon,2015,2.75,4.43,28282,10,-1.6799999999999997,0,1,0,1
xcent,2017,5.75,7.13,12479,8,-1.38,0,1,0,1
grand i10,2015,5.15,5.7,34797,10,-0.5499999999999998,0,1,0,0
i20,2017,7.9,8.1,3435,8,-0.1999999999999993,0,1,0,1
grand i10,2015,4.85,5.7,21125,10,-0.8500000000000005,1,0,0,1
i10,2012,3.1,4.6,35775,13,-1.4999999999999996,0,1,0,1
elantra,2015,11.75,14.79,43535,10,-3.039999999999999,1,0,0,1
creta,2016,11.25,13.6,22671,9,-2.3499999999999996,0,1,0,1
i20,2011,2.9,6.79,31604,14,-3.89,0,1,0,1
grand i10,2017,5.25,5.7,20114,8,-0.4500000000000002,0,1,0,1
verna,2012,4.5,9.4,36100,13,-4.9,0,1,0,1
eon,2016,2.9,4.43,12500,9,-1.5299999999999998,0,1,0,1
eon,2016,3.15,4.43,15000,9,-1.2799999999999998,0,1,0,1
verna,2014,6.45,9.4,45078,11,-2.95,0,1,0,1
verna,2012,4.5,9.4,36000,13,-4.9,0,1,0,1
eon,2017,3.5,4.43,38488,8,-0.9299999999999997,0,1,0,1
i20,2013,4.5,6.79,32000,12,-2.29,0,1,0,0
i20,2014,6.0,7.6,77632,11,-1.5999999999999996,1,0,0,1
verna,2015,8.25,9.4,61381,10,-1.1500000000000004,1,0,0,1
verna,2013,5.11,9.4,36198,12,-4.29,0,1,0,0
i10,2011,2.7,4.6,22517,14,-1.8999999999999995,0,1,0,1
grand i10,2015,5.25,5.7,24678,10,-0.4500000000000002,0,1,0,1
i10,2011,2.55,4.43,57000,14,-1.88,0,1,0,1
verna,2012,4.95,9.4,60000,13,-4.45,1,0,0,1
i20,2012,3.1,6.79,52132,13,-3.69,1,0,0,1
verna,2013,6.15,9.4,45000,12,-3.25,1,0,0,1
verna,2017,9.25,9.4,15001,8,-0.15000000000000036,0,1,0,1
elantra,2015,11.45,14.79,12900,10,-3.34,0,1,0,0
grand i10,2013,3.9,5.7,53000,12,-1.8000000000000003,1,0,0,1
grand i10,2015,5.5,5.7,4492,10,-0.20000000000000018,0,1,0,1
verna,2017,9.1,9.4,15141,8,-0.3000000000000007,0,1,0,1
eon,2016,3.1,4.43,11849,9,-1.3299999999999996,0,1,0,1
creta,2015,11.25,13.6,68000,10,-2.3499999999999996,1,0,0,1
verna,2013,4.8,9.4,60241,12,-4.6000000000000005,0,1,0,1
eon,2012,2.0,4.43,23709,13,-2.4299999999999997,0,1,0,1
verna,2012,5.35,9.4,32322,13,-4.050000000000001,1,0,0,1
xcent,2014,4.4,7.13,34000,11,-2.7299999999999995,0,1,0,1
i20,2016,6.25,7.6,7000,9,-1.3499999999999996,0,1,0,1
verna,2013,5.95,9.4,49000,12,-3.45,1,0,0,1
verna,2012,5.2,9.4,71000,13,-4.2,1,0,0,1
i20,2012,3.75,6.79,35000,13,-3.04,0,1,0,1
verna,2015,5.95,9.4,36000,10,-3.45,0,1,0,1
i10,2013,4.0,4.6,30000,12,-0.5999999999999996,0,1,0,1
i20,2016,5.25,7.6,17000,9,-2.3499999999999996,0,1,0,1
creta,2016,12.9,13.6,35934,9,-0.6999999999999993,1,0,0,1
city,2013,5.0,9.9,56701,12,-4.9,0,1,0,1
brio,2015,5.4,6.82,31427,10,-1.42,0,1,0,0
city,2014,7.2,9.9,48000,11,-2.7,1,0,0,1
city,2013,5.25,9.9,54242,12,-4.65,0,1,0,1
brio,2012,3.0,5.35,53675,13,-2.3499999999999996,0,1,0,1
city,2016,10.25,13.6,49562,9,-3.3499999999999996,0,1,0,1
city,2015,8.5,13.6,40324,10,-5.1,0,1,0,1
city,2015,8.4,13.6,25000,10,-5.199999999999999,0,1,0,1
amaze,2014,3.9,7.0,36054,11,-3.1,0,1,0,1
city,2016,9.15,13.6,29223,9,-4.449999999999999,0,1,0,1
brio,2016,5.5,5.97,5600,9,-0.46999999999999975,0,1,0,1
amaze,2015,4.0,5.8,40023,10,-1.7999999999999998,0,1,0,1
jazz,2016,6.6,7.7,16002,9,-1.1000000000000005,0,1,0,1
amaze,2015,4.0,7.0,40026,10,-3.0,0,1,0,1
jazz,2017,6.5,8.7,21200,8,-2.1999999999999993,0,1,0,1
amaze,2014,3.65,7.0,35000,11,-3.35,0,1,0,1
city,2016,8.35,9.4,19434,9,-1.0500000000000007,1,0,0,1
brio,2017,4.8,5.8,19000,8,-1.0,0,1,0,1
city,2015,6.7,10.0,18828,10,-3.3,0,1,0,1
city,2011,4.1,10.0,69341,14,-5.9,0,1,0,1
city,2009,3.0,10.0,69562,16,-7.0,0,1,0,1
city,2015,7.5,10.0,27600,10,-2.5,0,1,0,1
jazz,2010,2.25,7.5,61203,15,-5.25,0,1,0,1
brio,2014,5.3,6.8,16500,11,-1.5,0,1,0,1
city,2016,10.9,13.6,30753,9,-2.6999999999999993,0,1,0,0
city,2015,8.65,13.6,24800,10,-4.949999999999999,0,1,0,1
city,2015,9.7,13.6,21780,10,-3.9000000000000004,0,1,0,1
jazz,2016,6.0,8.4,4000,9,-2.4000000000000004,0,1,0,1
city,2014,6.25,13.6,40126,11,-7.35,0,1,0,1
brio,2015,5.25,5.9,14465,10,-0.6500000000000004,0,1,0,1
city,2006,2.1,7.6,50456,19,-5.5,0,1,0,1
city,2014,8.25,14.0,63000,11,-5.75,1,0,0,1
city,2016,8.99,11.8,9010,9,-2.8100000000000005,0,1,0,1
brio,2013,3.5,5.9,9800,12,-2.4000000000000004,0,1,0,1
jazz,2016,7.4,8.5,15059,9,-1.0999999999999996,0,1,0,0
jazz,2016,5.65,7.9,28569,9,-2.25,0,1,0,1
amaze,2015,5.75,7.5,44000,10,-1.75,0,1,0,0
city,2015,8.4,13.6,34000,10,-5.199999999999999,0,1,0,1
city,2016,10.11,13.6,10980,9,-3.49,0,1,0,1
amaze,2014,4.5,6.4,19000,11,-1.9000000000000004,0,1,0,1
brio,2015,5.4,6.1,31427,10,-0.6999999999999993,0,1,0,1
jazz,2016,6.4,8.4,12000,9,-2.0,0,1,0,1
city,2010,3.25,9.9,38000,15,-6.65,0,1,0,1
amaze,2014,3.75,6.8,33019,11,-3.05,0,1,0,1
city,2015,8.55,13.09,60076,10,-4.539999999999999,1,0,0,1
city,2016,9.5,11.6,33988,9,-2.0999999999999996,1,0,0,1
brio,2015,4.0,5.9,60000,10,-1.9000000000000004,0,1,0,1
city,2009,3.35,11.0,87934,16,-7.65,0,1,0,1
city,2017,11.5,12.5,9000,8,-1.0,1,0,0,1
brio,2016,5.3,5.9,5464,9,-0.6000000000000005,0,1,0,1
