car_name,year,selling_price,present_price,kms_driven,fuel_type,seller_type,transmission,car_age,price_difference
swift,2017,6.0,6.49,16200,Petrol,Individual,Manual,8,-0.4900000000000002
alto k10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,15,-2.0
ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,10,-2.9300000000000006
ritz,2012,3.1,5.98,51439,Diesel,Dealer,Manual,13,-2.8800000000000003
ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,14,-2.5399999999999996
swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,11,-2.54
ertiga,2014,6.0,9.95,45000,Diesel,Dealer,Manual,11,-3.9499999999999993
dzire,2014,5.5,8.06,45000,Diesel,Dealer,Manual,11,-2.5600000000000005
sx4,2011,2.95,7.74,49998,CNG,Dealer,Manual,14,-4.79
dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,10,-2.55
800,2003,0.35,2.28,127000,Petrol,Individual,Manual,22,-1.9299999999999997
alto k10,2016,3.0,3.76,10079,Petrol,Dealer,Manual,9,-0.7599999999999998
sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,22,-5.73
baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,9,-2.0200000000000005
alto k10,2014,2.55,3.98,46706,Petrol,Dealer,Manual,11,-1.4300000000000002
sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,17,-5.2
dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,11,-2.5600000000000005
omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,13,-1.44
ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,11,-4.539999999999999
ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,12,-2.2399999999999998
wagon r,2006,1.05,4.15,65000,Petrol,Dealer,Manual,19,-3.1000000000000005
ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,10,-1.9100000000000001
ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,8,-1.5399999999999991
fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,13,-15.709999999999999
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,10,-7.609999999999999
innova,2017,18.0,19.77,15000,Diesel,Dealer,Automatic,8,-1.7699999999999996
fortuner,2013,16.0,30.61,135000,Diesel,Individual,Automatic,12,-14.61
innova,2005,2.75,10.21,90000,Petrol,Individual,Manual,20,-7.460000000000001
corolla altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic,16,-11.44
etios cross,2015,4.5,7.27,40534,Petrol,Dealer,Manual,10,-2.7699999999999996
corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,15,-13.79
fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,11,-15.970000000000002
corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,12,-11.66
etios cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual,10,-3.2
fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic,11,-17.21
fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,10,-12.46
fortuner,2017,33.0,36.23,6000,Diesel,Dealer,Automatic,8,-3.229999999999997
etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,11,-2.2
innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,8,-3.3999999999999986
fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,15,-11.2
corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,14,-9.39
corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,9,-6.66
etios liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual,11,-2.8099999999999996
corolla altis,2011,4.5,12.48,45000,Diesel,Dealer,Manual,14,-7.98
corolla altis,2013,7.45,18.61,56001,Petrol,Dealer,Manual,12,-11.16
etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,14,-3.06
etios cross,2014,4.9,8.93,83000,Diesel,Dealer,Manual,11,-4.029999999999999
etios g,2015,3.95,6.8,36000,Petrol,Dealer,Manual,10,-2.8499999999999996
corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,12,-9.18
corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,21,-10.85
corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,15,-17.58
fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic,13,-16.11
corolla altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual,9,-0.16000000000000014
etios gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual,10,-3.0999999999999996
innova,2017,23.0,25.39,15000,Diesel,Dealer,Automatic,8,-2.3900000000000006
innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,10,-0.9600000000000009
innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,20,-9.97
land cruiser,2010,35.0,92.6,78000,Diesel,Dealer,Manual,15,-57.599999999999994
corolla altis,2012,5.9,13.74,56000,Petrol,Dealer,Manual,13,-7.84
etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,12,-2.5999999999999996
etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual,11,-2.01
corolla altis,2009,3.8,18.61,62000,Petrol,Dealer,Manual,16,-14.809999999999999
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,11,-4.84
innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,20,-10.19
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,10,-7.609999999999999
corolla altis,2008,4.0,22.78,89000,Petrol,Dealer,Automatic,17,-18.78
corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,13,-12.76
innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic,9,-4.640000000000001
corolla altis,2017,17.0,18.64,8700,Petrol,Dealer,Manual,8,-1.6400000000000006
corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,12,-11.559999999999999
fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,15,-10.799999999999999
royal enfield thunder 500,2016,1.75,1.9,3000,Petrol,Individual,Manual,9,-0.1499999999999999
um renegade mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,8,-0.1200000000000001
ktm rc200,2017,1.65,1.78,4000,Petrol,Individual,Manual,8,-0.13000000000000012
bajaj dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,8,-0.15000000000000013
royal enfield classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,8,-0.11999999999999988
ktm rc390,2015,1.35,2.37,21700,Petrol,Individual,Manual,10,-1.02
royal enfield thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,12,-0.25
royal enfield thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,9,-0.30000000000000004
royal enfield classic 350,2017,1.2,1.47,11000,Petrol,Individual,Manual,8,-0.27
ktm rc200,2016,1.2,1.78,6000,Petrol,Individual,Manual,9,-0.5800000000000001
royal enfield thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,9,-0.3500000000000001
ktm 390 duke ,2014,1.15,2.4,7000,Petrol,Individual,Manual,11,-1.25
mahindra mojo xt300,2016,1.15,1.4,35000,Petrol,Individual,Manual,9,-0.25
royal enfield classic 350,2015,1.15,1.47,17000,Petrol,Individual,Manual,10,-0.32000000000000006
royal enfield classic 350,2015,1.11,1.47,17500,Petrol,Individual,Manual,10,-0.3599999999999999
royal enfield classic 350,2013,1.1,1.47,33000,Petrol,Individual,Manual,12,-0.3699999999999999
royal enfield thunder 500,2015,1.1,1.9,14000,Petrol,Individual,Manual,10,-0.7999999999999998
royal enfield classic 350,2015,1.1,1.47,26000,Petrol,Individual,Manual,10,-0.3699999999999999
royal enfield thunder 500,2013,1.05,1.9,5400,Petrol,Individual,Manual,12,-0.8499999999999999
bajaj pulsar rs200,2016,1.05,1.26,5700,Petrol,Individual,Manual,9,-0.20999999999999996
royal enfield thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,14,-0.44999999999999996
royal enfield bullet 350,2016,1.05,1.17,6000,Petrol,Individual,Manual,9,-0.11999999999999988
royal enfield classic 350,2013,1.0,1.47,46500,Petrol,Individual,Manual,12,-0.47
royal enfield classic 500,2012,0.95,1.75,11500,Petrol,Individual,Manual,13,-0.8
royal enfield classic 500,2009,0.9,1.75,40000,Petrol,Individual,Manual,16,-0.85
bajaj avenger 220,2017,0.9,0.95,1300,Petrol,Individual,Manual,8,-0.04999999999999993
bajaj avenger 150,2016,0.75,0.8,7000,Petrol,Individual,Manual,9,-0.050000000000000044
honda cb hornet 160r,2017,0.8,0.87,3000,Petrol,Individual,Manual,8,-0.06999999999999995
yamaha fz s v 2.0,2017,0.78,0.84,5000,Petrol,Individual,Manual,8,-0.05999999999999994
honda cb hornet 160r,2017,0.75,0.87,11000,Petrol,Individual,Manual,8,-0.12
yamaha fz 16,2015,0.75,0.82,18000,Petrol,Individual,Manual,10,-0.06999999999999995
bajaj avenger 220,2017,0.75,0.95,3500,Petrol,Individual,Manual,8,-0.19999999999999996
bajaj avenger 220,2016,0.72,0.95,500,Petrol,Individual,Manual,9,-0.22999999999999998
tvs apache rtr 160,2017,0.65,0.81,11800,Petrol,Individual,Manual,8,-0.16000000000000003
bajaj pulsar 150,2015,0.65,0.74,5000,Petrol,Individual,Manual,10,-0.08999999999999997
honda cbr 150,2014,0.65,1.2,23500,Petrol,Individual,Manual,11,-0.5499999999999999
hero extreme,2013,0.65,0.787,16000,Petrol,Individual,Manual,12,-0.137
honda cb hornet 160r,2016,0.6,0.87,15000,Petrol,Individual,Manual,9,-0.27
bajaj avenger 220 dtsi,2015,0.6,0.95,16600,Petrol,Individual,Manual,10,-0.35
honda cbr 150,2013,0.6,1.2,32000,Petrol,Individual,Manual,12,-0.6
bajaj avenger 150 street,2016,0.6,0.8,20000,Petrol,Individual,Manual,9,-0.20000000000000007
yamaha fz  v 2.0,2015,0.6,0.84,29000,Petrol,Individual,Manual,10,-0.24
yamaha fz  v 2.0,2016,0.6,0.84,25000,Petrol,Individual,Manual,9,-0.24
bajaj pulsar  ns 200,2014,0.6,0.99,25000,Petrol,Individual,Manual,11,-0.39
tvs apache rtr 160,2012,0.6,0.81,19000,Petrol,Individual,Manual,13,-0.21000000000000008
hero extreme,2014,0.55,0.787,15000,Petrol,Individual,Manual,11,-0.237
yamaha fz s v 2.0,2015,0.55,0.84,58000,Petrol,Individual,Manual,10,-0.2899999999999999
bajaj pulsar 220 f,2010,0.52,0.94,45000,Petrol,Individual,Manual,15,-0.41999999999999993
bajaj pulsar 220 f,2016,0.51,0.94,24000,Petrol,Individual,Manual,9,-0.42999999999999994
tvs apache rtr 180,2011,0.5,0.826,6000,Petrol,Individual,Manual,14,-0.32599999999999996
hero passion x pro,2016,0.5,0.55,31000,Petrol,Individual,Manual,9,-0.050000000000000044
bajaj pulsar ns 200,2012,0.5,0.99,13000,Petrol,Individual,Manual,13,-0.49
bajaj pulsar ns 200,2013,0.5,0.99,45000,Petrol,Individual,Manual,12,-0.49
yamaha fazer ,2014,0.5,0.88,8000,Petrol,Individual,Manual,11,-0.38
honda activa 4g,2017,0.48,0.51,4300,Petrol,Individual,Automatic,8,-0.030000000000000027
tvs sport ,2017,0.48,0.52,15000,Petrol,Individual,Manual,8,-0.040000000000000036
yamaha fz s v 2.0,2015,0.48,0.84,23000,Petrol,Individual,Manual,10,-0.36
honda dream yuga ,2017,0.48,0.54,8600,Petrol,Individual,Manual,8,-0.06000000000000005
honda activa 4g,2017,0.45,0.51,4000,Petrol,Individual,Automatic,8,-0.06
bajaj avenger street 220,2011,0.45,0.95,24000,Petrol,Individual,Manual,14,-0.49999999999999994
tvs apache rtr 180,2014,0.45,0.826,23000,Petrol,Individual,Manual,11,-0.37599999999999995
bajaj pulsar ns 200,2012,0.45,0.99,14500,Petrol,Individual,Manual,13,-0.54
bajaj avenger 220 dtsi,2010,0.45,0.95,27000,Petrol,Individual,Manual,15,-0.49999999999999994
hero splender ismart,2016,0.45,0.54,14000,Petrol,Individual,Manual,9,-0.09000000000000002
activa 3g,2016,0.45,0.54,500,Petrol,Individual,Automatic,9,-0.09000000000000002
hero passion pro,2016,0.45,0.55,1000,Petrol,Individual,Manual,9,-0.10000000000000003
tvs apache rtr 160,2014,0.42,0.81,42000,Petrol,Individual,Manual,11,-0.39000000000000007
honda cb trigger,2013,0.42,0.73,12000,Petrol,Individual,Manual,12,-0.31
hero splender ismart,2015,0.4,0.54,14000,Petrol,Individual,Manual,10,-0.14
yamaha fz s ,2012,0.4,0.83,5500,Petrol,Individual,Manual,13,-0.42999999999999994
hero passion pro,2015,0.4,0.55,6700,Petrol,Individual,Manual,10,-0.15000000000000002
bajaj pulsar 135 ls,2014,0.4,0.64,13700,Petrol,Individual,Manual,11,-0.24
activa 4g,2017,0.4,0.51,1300,Petrol,Individual,Automatic,8,-0.10999999999999999
honda cb unicorn,2015,0.38,0.72,38600,Petrol,Individual,Manual,10,-0.33999999999999997
hero honda cbz extreme,2011,0.38,0.787,75000,Petrol,Individual,Manual,14,-0.40700000000000003
honda karizma,2011,0.35,1.05,30000,Petrol,Individual,Manual,14,-0.7000000000000001
honda activa 125,2016,0.35,0.57,24000,Petrol,Individual,Automatic,9,-0.21999999999999997
tvs jupyter,2014,0.35,0.52,19000,Petrol,Individual,Automatic,11,-0.17000000000000004
honda karizma,2010,0.31,1.05,213000,Petrol,Individual,Manual,15,-0.74
hero honda passion pro,2012,0.3,0.51,60000,Petrol,Individual,Manual,13,-0.21000000000000002
hero splender plus,2016,0.3,0.48,50000,Petrol,Individual,Manual,9,-0.18
honda cb shine,2013,0.3,0.58,30000,Petrol,Individual,Manual,12,-0.27999999999999997
bajaj discover 100,2013,0.27,0.47,21000,Petrol,Individual,Manual,12,-0.19999999999999996
suzuki access 125,2008,0.25,0.58,1900,Petrol,Individual,Automatic,17,-0.32999999999999996
tvs wego,2010,0.25,0.52,22000,Petrol,Individual,Automatic,15,-0.27
honda cb twister,2013,0.25,0.51,32000,Petrol,Individual,Manual,12,-0.26
hero glamour,2013,0.25,0.57,18000,Petrol,Individual,Manual,12,-0.31999999999999995
hero super splendor,2005,0.2,0.57,55000,Petrol,Individual,Manual,20,-0.36999999999999994
bajaj pulsar 150,2008,0.2,0.75,60000,Petrol,Individual,Manual,17,-0.55
hero  cbz xtreme,2008,0.2,0.787,50000,Petrol,Individual,Manual,17,-0.587
bajaj  ct 100,2015,0.18,0.32,35000,Petrol,Individual,Manual,10,-0.14
activa 3g,2008,0.17,0.52,500000,Petrol,Individual,Automatic,17,-0.35
honda cb twister,2010,0.16,0.51,33000,Petrol,Individual,Manual,15,-0.35
honda cb shine,2007,0.12,0.58,53000,Petrol,Individual,Manual,18,-0.45999999999999996
bajaj pulsar 150,2006,0.1,0.75,92233,Petrol,Individual,Manual,19,-0.65
grand i10,2015,4.4,5.7,28200,Petrol,Dealer,Manual,10,-1.2999999999999998
i10,2011,2.95,4.6,53460,Petrol,Dealer,Manual,14,-1.6499999999999995
eon,2015,2.75,4.43,28282,Petrol,Dealer,Manual,10,-1.6799999999999997
xcent,2017,5.75,7.13,12479,Petrol,Dealer,Manual,8,-1.38
grand i10,2015,5.15,5.7,34797,Petrol,Dealer,Automatic,10,-0.5499999999999998
i20,2017,7.9,8.1,3435,Petrol,Dealer,Manual,8,-0.1999999999999993
grand i10,2015,4.85,5.7,21125,Diesel,Dealer,Manual,10,-0.8500000000000005
i10,2012,3.1,4.6,35775,Petrol,Dealer,Manual,13,-1.4999999999999996
elantra,2015,11.75,14.79,43535,Diesel,Dealer,Manual,10,-3.039999999999999
creta,2016,11.25,13.6,22671,Petrol,Dealer,Manual,9,-2.3499999999999996
i20,2011,2.9,6.79,31604,Petrol,Dealer,Manual,14,-3.89
grand i10,2017,5.25,5.7,20114,Petrol,Dealer,Manual,8,-0.4500000000000002
verna,2012,4.5,9.4,36100,Petrol,Dealer,Manual,13,-4.9
eon,2016,2.9,4.43,12500,Petrol,Dealer,Manual,9,-1.5299999999999998
eon,2016,3.15,4.43,15000,Petrol,Dealer,Manual,9,-1.2799999999999998
verna,2014,6.45,9.4,45078,Petrol,Dealer,Manual,11,-2.95
verna,2012,4.5,9.4,36000,Petrol,Dealer,Manual,13,-4.9
eon,2017,3.5,4.43,38488,Petrol,Dealer,Manual,8,-0.9299999999999997
i20,2013,4.5,6.79,32000,Petrol,Dealer,Automatic,12,-2.29
i20,2014,6.0,7.6,77632,Diesel,Dealer,Manual,11,-1.5999999999999996
verna,2015,8.25,9.4,61381,Diesel,Dealer,Manual,10,-1.1500000000000004
verna,2013,5.11,9.4,36198,Petrol,Dealer,Automatic,12,-4.29
i10,2011,2.7,4.6,22517,Petrol,Dealer,Manual,14,-1.8999999999999995
grand i10,2015,5.25,5.7,24678,Petrol,Dealer,Manual,10,-0.4500000000000002
i10,2011,2.55,4.43,57000,Petrol,Dealer,Manual,14,-1.88
verna,2012,4.95,9.4,60000,Diesel,Dealer,Manual,13,-4.45
i20,2012,3.1,6.79,52132,Diesel,Dealer,Manual,13,-3.69
verna,2013,6.15,9.4,45000,Diesel,Dealer,Manual,12,-3.25
verna,2017,9.25,9.4,15001,Petrol,Dealer,Manual,8,-0.15000000000000036
elantra,2015,11.45,14.79,12900,Petrol,Dealer,Automatic,10,-3.34
grand i10,2013,3.9,5.7,53000,Diesel,Dealer,Manual,12,-1.8000000000000003
grand i10,2015,5.5,5.7,4492,Petrol,Dealer,Manual,10,-0.20000000000000018
verna,2017,9.1,9.4,15141,Petrol,Dealer,Manual,8,-0.3000000000000007
eon,2016,3.1,4.43,11849,Petrol,Dealer,Manual,9,-1.3299999999999996
creta,2015,11.25,13.6,68000,Diesel,Dealer,Manual,10,-2.3499999999999996
verna,2013,4.8,9.4,60241,Petrol,Dealer,Manual,12,-4.6000000000000005
eon,2012,2.0,4.43,23709,Petrol,Dealer,Manual,13,-2.4299999999999997
verna,2012,5.35,9.4,32322,Diesel,Dealer,Manual,13,-4.050000000000001
xcent,2014,4.4,7.13,34000,Petrol,Dealer,Manual,11,-2.7299999999999995
i20,2016,6.25,7.6,7000,Petrol,Dealer,Manual,9,-1.3499999999999996
verna,2013,5.95,9.4,49000,Diesel,Dealer,Manual,12,-3.45
verna,2012,5.2,9.4,71000,Diesel,Dealer,Manual,13,-4.2
i20,2012,3.75,6.79,35000,Petrol,Dealer,Manual,13,-3.04
verna,2015,5.95,9.4,36000,Petrol,Dealer,Manual,10,-3.45
i10,2013,4.0,4.6,30000,Petrol,Dealer,Manual,12,-0.5999999999999996
i20,2016,5.25,7.6,17000,Petrol,Dealer,Manual,9,-2.3499999999999996
creta,2016,12.9,13.6,35934,Diesel,Dealer,Manual,9,-0.6999999999999993
city,2013,5.0,9.9,56701,Petrol,Dealer,Manual,12,-4.9
brio,2015,5.4,6.82,31427,Petrol,Dealer,Automatic,10,-1.42
city,2014,7.2,9.9,48000,Diesel,Dealer,Manual,11,-2.7
city,2013,5.25,9.9,54242,Petrol,Dealer,Manual,12,-4.65
brio,2012,3.0,5.35,53675,Petrol,Dealer,Manual,13,-2.3499999999999996
city,2016,10.25,13.6,49562,Petrol,Dealer,Manual,9,-3.3499999999999996
city,2015,8.5,13.6,40324,Petrol,Dealer,Manual,10,-5.1
city,2015,8.4,13.6,25000,Petrol,Dealer,Manual,10,-5.199999999999999
amaze,2014,3.9,7.0,36054,Petrol,Dealer,Manual,11,-3.1
city,2016,9.15,13.6,29223,Petrol,Dealer,Manual,9,-4.449999999999999
brio,2016,5.5,5.97,5600,Petrol,Dealer,Manual,9,-0.46999999999999975
amaze,2015,4.0,5.8,40023,Petrol,Dealer,Manual,10,-1.7999999999999998
jazz,2016,6.6,7.7,16002,Petrol,Dealer,Manual,9,-1.1000000000000005
amaze,2015,4.0,7.0,40026,Petrol,Dealer,Manual,10,-3.0
jazz,2017,6.5,8.7,21200,Petrol,Dealer,Manual,8,-2.1999999999999993
amaze,2014,3.65,7.0,35000,Petrol,Dealer,Manual,11,-3.35
city,2016,8.35,9.4,19434,Diesel,Dealer,Manual,9,-1.0500000000000007
brio,2017,4.8,5.8,19000,Petrol,Dealer,Manual,8,-1.0
city,2015,6.7,10.0,18828,Petrol,Dealer,Manual,10,-3.3
city,2011,4.1,10.0,69341,Petrol,Dealer,Manual,14,-5.9
city,2009,3.0,10.0,69562,Petrol,Dealer,Manual,16,-7.0
city,2015,7.5,10.0,27600,Petrol,Dealer,Manual,10,-2.5
jazz,2010,2.25,7.5,61203,Petrol,Dealer,Manual,15,-5.25
brio,2014,5.3,6.8,16500,Petrol,Dealer,Manual,11,-1.5
city,2016,10.9,13.6,30753,Petrol,Dealer,Automatic,9,-2.6999999999999993
city,2015,8.65,13.6,24800,Petrol,Dealer,Manual,10,-4.949999999999999
city,2015,9.7,13.6,21780,Petrol,Dealer,Manual,10,-3.9000000000000004
jazz,2016,6.0,8.4,4000,Petrol,Dealer,Manual,9,-2.4000000000000004
city,2014,6.25,13.6,40126,Petrol,Dealer,Manual,11,-7.35
brio,2015,5.25,5.9,14465,Petrol,Dealer,Manual,10,-0.6500000000000004
city,2006,2.1,7.6,50456,Petrol,Dealer,Manual,19,-5.5
city,2014,8.25,14.0,63000,Diesel,Dealer,Manual,11,-5.75
city,2016,8.99,11.8,9010,Petrol,Dealer,Manual,9,-2.8100000000000005
brio,2013,3.5,5.9,9800,Petrol,Dealer,Manual,12,-2.4000000000000004
jazz,2016,7.4,8.5,15059,Petrol,Dealer,Automatic,9,-1.0999999999999996
jazz,2016,5.65,7.9,28569,Petrol,Dealer,Manual,9,-2.25
amaze,2015,5.75,7.5,44000,Petrol,Dealer,Automatic,10,-1.75
city,2015,8.4,13.6,34000,Petrol,Dealer,Manual,10,-5.199999999999999
city,2016,10.11,13.6,10980,Petrol,Dealer,Manual,9,-3.49
amaze,2014,4.5,6.4,19000,Petrol,Dealer,Manual,11,-1.9000000000000004
brio,2015,5.4,6.1,31427,Petrol,Dealer,Manual,10,-0.6999999999999993
jazz,2016,6.4,8.4,12000,Petrol,Dealer,Manual,9,-2.0
city,2010,3.25,9.9,38000,Petrol,Dealer,Manual,15,-6.65
amaze,2014,3.75,6.8,33019,Petrol,Dealer,Manual,11,-3.05
city,2015,8.55,13.09,60076,Diesel,Dealer,Manual,10,-4.539999999999999
city,2016,9.5,11.6,33988,Diesel,Dealer,Manual,9,-2.0999999999999996
brio,2015,4.0,5.9,60000,Petrol,Dealer,Manual,10,-1.9000000000000004
city,2009,3.35,11.0,87934,Petrol,Dealer,Manual,16,-7.65
city,2017,11.5,12.5,9000,Diesel,Dealer,Manual,8,-1.0
brio,2016,5.3,5.9,5464,Petrol,Dealer,Manual,9,-0.6000000000000005
